Adresa,lat,lon
"Hostovlice 18, 28562 HOSTOVLICE U ČÁSLAVĚ",49.860628,15.4644078
"Žlutická 431, 36401 Toužim",50.061366,12.9911308
"Vlastimila Pecha 1276, 62700 Brno",49.182177,16.6617715
"Náchodská 397, 54941 Červený Kostelec",50.4740001,16.0978838
"Hybernská 1007/20, 11000 Praha",50.0871321,14.4333466
"Nádražní 272, 253 01 Hostivice",50.083765,14.2643775
"Brožíkova 436, 53009 Pardubice",50.0429796,15.7498714
"Blato 95, 53002 Mikulovice",49.9899163,15.7657975
"Vrchovská 1760, 28601 ČÁSLAV",49.9193578,15.3992351
"Sportovní 573, 36001 Karlovy Vary",50.2414944,12.8949644
"Kutlíře 20, 28002 KOLÍN II",50.0330708,15.1905655
"Husova 628, 26101 Příbram VI",49.6879665,13.9938616
"218, 53941 Kameničky",49.7374245,15.9753826
"Piešťanská cesta 29, 922 10 Trebatice",,
"Libštát 330, 51206 LIBŠTÁT",50.5588216,15.4238604
"Dr. Kocourka 456, 35601 Sokolov",50.1856978,12.6393257
"Školní 279, 28575 Žehušice",49.9736831,15.4019548
28002 KOLÍN II,50.0226044,15.1907306
"Školní 279, 28575 ZEHUSICE",49.9736831,15.4019548
"Čáslavská 397, 538 07 Seč",49.8543714,15.6520857
"Odborného 24, 70900 OSTRAVA - HULVÁKY",49.8276657,18.2476767
"Skladová 7, 971 01 Prievidza",48.7620981,18.6276268
"Partizánska cesta 97, 974 01 Banská Bystrica",48.7438442,19.1824711
"Zlatovská cesta 36, 911 05 Trenčín",,
"Pod Nádražím, 28601 ČÁSLAV",49.9143476,15.4016982
"Pražská 835, 54701 Náchod",50.4111926,16.1625763
"Zastávecká 1030, 66501 ROSICE U BRNA",49.1843798,16.3709656
"Trenčianska 460, 020 01 Púchov",49.1102616,18.3262783
"Mlynská, 9301 Vranov nad Topľou",48.8958836,21.672123
"Fidlíkova, 6643 Humenné",48.9310458,21.886254
"Karla Veselého 728, 29306 Kosmonosy",50.4370963,14.9265313
"Jeníkovská 1815, 28601 ČÁSLAV",49.8976965,15.4063772
"Průmyslová, 68601 Uherské Hradiště",49.0587178,17.4591195
"Škroupova 53, 53701 CHRUDIM 1",49.9485399,15.7875251
"Dráby 542, 56601 Vysoké Mýto",49.9428704,16.1676204
"Martínkovice 81, 54973 Martínkovice u Broumova",50.547435,16.33536
"Oldřichov 94, 39143 Oldřichov",49.5619952,14.7505527
"Žichlínek 176, 56301 LANŠKROUN",49.9147773,16.6267021
"č.p.67, 28545 KLUKY",49.9063252,15.3260892
"Nová  331, 28522 ZRUČ NAD SÁZAVOU",49.7488068,15.1073381
"Červené Janovice 55, 28542 ČERVENÉ JANOVICE",49.8301602,15.2592715
"Zemědělská 1600, 56401 ŽAMBERK",50.0720032,16.4601428
"U Sýpky, 66461 Rajhradice",49.0946098,16.6410293
"Borová 177, 56982 BOROVÁ",49.7373923,16.1562661
"Oldřiš 258, 56982 BOROVÁ",49.7425305,16.145215
"Hromádky z Jistebnice 215, 58301 CHOTĚBOŘ",49.7190364,15.6663599
"Hůry 242, 37371 Hůry",49.0062172,14.5318307
"Dvořákova 87, 56301 Lanškroun",49.9097273,16.6018661
"Jarošovská 1267, 37701 Jindřichův Hradec",49.1509974,15.0146363
"Makovského 1177/1, 16300 PRAHA 6 - ŘEPY",50.0632765,14.3107686
